catalog_event_id,event_date,magnitude,depth_km
72288561,2014-08-31 01:56:20-07,3.24,9.56
72289721,2014-09-01 09:10:37-07,3.36,5.56
37264024,2014-09-02 19:38:35-07,3.64,13.63
37265672,2014-09-07 21:18:56-07,3.64,14.16
72294261,2014-09-07 23:10:57-07,3.09,4.16
37266216,2014-09-09 09:08:30-07,3.34,6.13
72295271,2014-09-09 11:17:57-07,3.58,6.21
459043,2014-09-10 17:08:42-07,3.25,8.9
37267296,2014-09-12 05:20:04-07,3.3,10.52
72298936,2014-09-14 13:17:46-07,3.55,8.31
37268056,2014-09-14 15:16:55-07,3.04,12.98
37268088,2014-09-14 17:56:56-07,3.18,9.61
37042559,2014-09-19 17:33:21-07,3.1,1.62
72306936,2014-09-25 17:30:09-07,3.16,6.61
72307491,2014-09-25 20:32:45-07,3.54,6.16
72307731,2014-09-25 21:21:19-07,3.52,5.71
71086539,2014-09-25 21:21:28-07,3.53,6.43
72308346,2014-09-25 22:46:24-07,3.03,6.35
72316031,2014-09-28 13:45:13-07,4.43,7.64
72320511,2014-10-04 08:45:08-07,3.93,3.83
72322146,2014-10-06 21:03:24-07,3.06,37.96
37278104,2014-10-11 14:02:44-07,3.16,12.39
37278432,2014-10-12 13:16:04-07,3.3,9.53
72337305,2014-11-07 22:21:27-08,3.21,2.46
72339590,2014-11-11 00:35:32-08,3.85,6.08
72350156,2014-11-19 22:26:49-08,4.23,6.59
470559,2014-12-03 23:37:33-08,3.34,6.33
37066415,2014-12-04 08:53:21-08,3.56,15.51
72360116,2014-12-04 11:28:37-08,3.19,4.15
72361051,2014-12-06 07:06:02-08,3.32,11.68
470961,2014-12-06 16:39:25-08,3.2,6.84
37067415,2014-12-07 04:59:05-08,3.09,5.71
72364941,2014-12-14 22:10:43-08,3.41,11.58
472271,2014-12-15 19:33:53-08,3.09,10.82
37300496,2014-12-30 22:27:41-08,3.11,9
201403100626,2014-03-09 23:26:45-07,3,2.54
60940797,2014-12-19 06:01:06-08,3.15,24.74
60675057,2014-01-24 05:53:28-08,3.83,5
60733657,2014-04-06 20:33:12-07,3.32,19.45
201401022059,2014-01-02 12:49:24-08,3.4,130.7
201401032039,2014-01-03 06:25:20-08,3.5,65.7
201401052052,2014-01-05 14:57:04-08,3.1,147.4
201401062001,2014-01-05 16:11:34-08,3,45.7
201401102015,2014-01-09 20:17:37-08,4,42.7
201401132002,2014-01-12 17:26:16-08,3.9,72
201401132005,2014-01-12 18:26:22-08,3,155.7
201401132019,2014-01-12 20:30:19-08,3.5,1.9
70234014,2014-01-16 04:55:15-08,3.5,3.13
201401182030,2014-01-17 22:48:10-08,3,67.7
201401202024,2014-01-20 05:30:08-08,3.7,77.2
201401212014,2014-01-21 06:29:21-08,3.2,8.5
201401212016,2014-01-21 06:57:04-08,4.5,42.3
201401222025,2014-01-22 09:57:07-08,3,132
60707156,2014-01-22 18:05:18-08,3.04,3
70238909,2014-01-25 14:58:13-08,3.01,16.11
201401262002,2014-01-25 17:01:51-08,3.1,5
201401272021,2014-01-27 09:39:02-08,4.5,142.9
201402012059,2014-02-01 09:30:11-08,3.2,60.8
201402022043,2014-02-02 01:04:51-08,4.1,113.3
201402022044,2014-02-02 01:23:02-08,3.8,14.3
201402032039,2014-02-03 01:43:06-08,3.6,84.6
201402052003,2014-02-04 16:57:25-08,3.2,140.5
201402052014,2014-02-04 20:31:42-08,3.2,14.3
201402072051,2014-02-07 11:59:53-08,3,99
201402092032,2014-02-09 03:05:55-08,3.6,14.1
201402102005,2014-02-09 18:44:47-08,3.9,5.3
201402152035,2014-02-15 07:22:59-08,3.4,5
201402162025,2014-02-16 03:25:38-08,3,127.7
201402172008,2014-02-16 19:26:40-08,4,78.8
201402182003,2014-02-17 17:34:27-08,3.2,121.6
201402202010,2014-02-19 18:57:34-08,3.4,24
201402202035,2014-02-20 13:36:26-08,3.4,62.9
201402232037,2014-02-23 06:47:46-08,3.2,18.1
201402242027,2014-02-24 05:32:25-08,3,112
201402242042,2014-02-24 10:36:03-08,3.3,58.5
201402272014,2014-02-27 10:41:58-08,3.4,122
201403012048,2014-03-01 12:22:20-08,3.2,163.1
201403042013,2014-03-03 21:02:38-08,3.6,124.1
201403052007,2014-03-04 19:13:19-08,4.3,36.6
201403062027,2014-03-06 05:51:32-08,3.9,20.2
201403082019,2014-03-07 21:14:06-08,3.7,10
201403112047,2014-03-11 08:11:29-07,3,1
201403112069,2014-03-11 16:06:55-07,4,129
201403122003,2014-03-11 18:45:24-07,3.1,167.2
201403142002,2014-03-13 18:14:36-07,3.3,117
